Folder Mode ResultCount CacheHits Time1 Time2 Time3 TimeAvg
225      116      28           0          0m2.614s   0m2.937s   0m2.841s   0m2.797s
226      117      2            0          0m0.356s   0m0.367s   0m0.357s   0m0.360s
227      117      2            0          0m0.359s   0m0.386s   0m0.394s   0m0.380s
228      118      2            0          0m0.363s   0m0.391s   0m0.386s   0m0.380s
229      118      2            0          0m0.375s   0m0.392s   0m0.386s   0m0.384s
230      119      93           0          0m0.463s   0m0.510s   0m0.609s   0m0.527s
231      119      93           17         0m0.598s   0m0.679s   0m0.556s   0m0.611s
232      120      4            0          0m1.561s   0m1.801s   0m1.559s   0m1.640s
233      120      4            0          0m1.367s   0m1.520s   0m1.542s   0m1.476s
234      121      44           0          0m1.395s   0m1.409s   0m1.957s   0m1.587s
235      121      44           0          0m1.869s   0m2.006s   0m1.994s   0m1.956s
236      122      68           0          0m0.504s   0m0.518s   0m0.424s   0m0.482s
237      122      424          422        0m0.419s   0m0.442s   0m0.454s   0m0.438s
240      124      2            0          0m0.280s   0m0.348s   0m0.293s   0m0.307s
241      124      2            0          0m0.325s   0m0.366s   0m0.350s   0m0.347s
242      125      10           0          0m0.362s   0m0.376s   0m0.396s   0m0.378s
243      125      10           0          0m0.300s   0m0.335s   0m0.376s   0m0.337s
244      126      4            0          0m0.294s   0m0.400s   0m0.330s   0m0.341s
245      126      6            2          0m0.354s   0m0.379s   0m0.377s   0m0.370s
246      127      958          0          0m2.880s   0m2.439s   0m1.777s   0m2.365s
247      127      10875        10873      0m1.836s   0m2.454s   0m1.963s   0m2.084s
250      129      24           0          0m0.407s   0m0.438s   0m0.440s   0m0.428s
251      129      91           82         0m0.353s   0m0.428s   0m0.434s   0m0.405s
252      130      4            0          0m0.352s   0m0.407s   0m0.372s   0m0.377s
253      130      4            0          0m0.373s   0m0.375s   0m0.390s   0m0.379s
254      131      6            0          0m0.316s   0m0.375s   0m0.395s   0m0.362s
255      131      6            0          0m0.383s   0m0.380s   0m0.457s   0m0.407s
256      132      452          0          0m2.363s   0m2.333s   0m3.382s   0m2.693s
257      132      452          136        0m3.536s   0m3.249s   0m3.523s   0m3.436s
258      133      6492         0          6m19.428s  6m17.741s  7m28.129s  6m41.766s
259      133      6492         0          7m13.467s  7m24.698s  7m23.160s  7m20.442s
260      134      994          0          0m2.509s   0m2.649s   0m1.489s   0m2.216s
261      134      11274        11272      0m1.333s   0m1.541s   0m1.565s   0m1.480s
262      135      15           0          0m0.423s   0m0.432s   0m0.420s   0m0.425s
263      135      15           0          0m0.387s   0m0.481s   0m0.458s   0m0.442s
264      136      4            0          0m0.326s   0m0.319s   0m0.392s   0m0.346s
265      136      4            0          0m0.367s   0m0.411s   0m0.397s   0m0.392s
266      137      183          0          0m0.679s   0m0.682s   0m0.626s   0m0.662s
267      137      1372         1370       0m0.976s   0m0.547s   0m0.559s   0m0.694s
268      138      3            0          0m0.376s   0m0.381s   0m0.371s   0m0.376s
269      138      4            2          0m0.314s   0m0.321s   0m0.359s   0m0.331s
270      139      6            0          0m0.399s   0m0.392s   0m0.367s   0m0.386s
271      139      6            0          0m0.391s   0m0.360s   0m0.320s   0m0.357s
272      140      49           0          0m0.545s   0m0.534s   0m0.426s   0m0.502s
273      140      49           9          0m0.507s   0m0.492s   0m0.452s   0m0.484s
274      141      89           0          0m0.517s   0m0.540s   0m0.435s   0m0.497s
275      141      384          368        0m0.625s   0m0.478s   0m0.572s   0m0.558s
276      142      8            0          0m27.772s  0m25.381s  0m25.818s  0m26.324s
277      142      8            0          0m26.451s  0m25.701s  0m25.649s  0m25.934s
