    Folder       Mode  Result Count  Cache Hits   Real Time
571    309  NormCache           140           0    0m0.905s
572    310    NoCache            12           0   1m33.361s
573    310  NormCache            12           0   1m12.471s
574    311    NoCache             3           0    0m2.306s
575    311  NormCache             3           0    0m2.472s
576    312    NoCache           407           0    0m1.307s
577    312  NormCache           407           0    0m1.090s
578    313    NoCache           461           0    0m1.906s
579    313  NormCache           461           0    0m2.143s
580    314    NoCache            13           0    0m0.394s
581    314  NormCache            13           0    0m0.443s
582    315    NoCache             2           0    0m0.305s
583    315  NormCache             2           0    0m0.436s
584    316    NoCache           137           0    0m0.680s
585    316  NormCache           137           0    0m0.617s
586    318    NoCache          1503           0   1m30.850s
587    318  NormCache          1503           0   1m37.617s
588    319    NoCache             2           0    0m0.933s
589    319  NormCache             2           0    0m0.898s
590    320    NoCache            20           0    0m0.452s
591    320  NormCache            20           0    0m0.608s
592    321    NoCache           151           0    0m0.558s
593    321  NormCache           151           0    0m0.745s
594    322    NoCache             6           0    0m0.400s
595    322  NormCache             6           0    0m0.412s
596    323    NoCache           157           0    0m0.577s
597    323  NormCache           157           0    0m0.660s
598    324    NoCache            17           0    0m0.337s
599    324  NormCache            17           0    0m0.489s
600    325    NoCache             2           0    0m0.924s
601    325  NormCache             2           0    0m0.924s
602    326    NoCache            75           0    0m0.559s
603    326  NormCache            75           0    0m0.649s
604    327    NoCache            48           0    0m1.935s
605    327  NormCache            48           0    0m1.993s
606    328    NoCache           646           0    0m1.861s
607    328  NormCache           646           0    0m1.813s
608    329    NoCache          2899           0   0m11.921s
609    329  NormCache          2899           0   0m20.735s
610    330    NoCache           152           0    0m0.722s
611    330  NormCache           152           0    0m0.581s
612    331    NoCache            56           0    0m0.528s
613    331  NormCache            56           0    0m0.663s
614    332    NoCache            14           0   1m32.808s
615    332  NormCache            14           0   1m38.024s
616    334    NoCache          1836           0   4m25.635s
617    334  NormCache          1836           0   5m20.402s
618    335    NoCache            31           0    0m0.515s
619    335  NormCache            31           0    0m0.660s
620    336    NoCache          7555           0   7m46.126s
621    336  NormCache          7555           0    7m3.838s
622    337    NoCache           558           0   1m47.645s
623    337  NormCache           558           0   1m39.549s
624    339    NoCache             2           0   2m11.283s
625    339  NormCache             2           0   2m41.877s
